Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-126225,00005839318110459,01/01/26,,77800.0,119800.00
01/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-671858-UPI,00001560157888921,01/01/26,479.0,,119321.00
02/01/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-131244-UPI,00004844398147930,02/01/26,14000.0,,105321.00
02/01/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-850800-UPI,00008381094320374,02/01/26,316.0,,105005.00
03/01/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-331148-UPI,00001115402766155,03/01/26,499.0,,104506.00
03/01/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-325772-UPI,00002796741992313,03/01/26,1467.0,,103039.00
05/01/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-498382-UPI,00007314017318807,05/01/26,1200.0,,101839.00
05/01/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-662275-UPI,00007661160537249,05/01/26,3365.0,,98474.00
07/01/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-838797-UPI,00001803457621458,07/01/26,426.0,,98048.00
07/01/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-996865-UPI,00007683402910416,07/01/26,4438.0,,93610.00
07/01/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-472528-UPI,00002256913741227,07/01/26,206.0,,93404.00
08/01/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-497887-UPI,00005028919575309,08/01/26,986.0,,92418.00
08/01/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-169403-UPI,00004737973078743,08/01/26,571.0,,91847.00
08/01/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-774079-UPI,00003514526621865,08/01/26,4016.0,,87831.00
09/01/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-549245-UPI,00007366856944791,09/01/26,516.0,,87315.00
10/01/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-195325-UPI,00001827879780490,10/01/26,1578.0,,85737.00
12/01/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-503457-UPI,00009237730615193,12/01/26,2805.0,,82932.00
13/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-220116-UPI,00006985642353299,13/01/26,481.0,,82451.00
13/01/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-103402-UPI,00009930004312372,13/01/26,204.0,,82247.00
13/01/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-632323-UPI,00004498718886087,13/01/26,2541.0,,79706.00
14/01/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-916449-UPI,00001012534834141,14/01/26,307.0,,79399.00
15/01/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-480612-UPI,00005210388713215,15/01/26,127.0,,79272.00
15/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-609597-UPI,00002218980537952,15/01/26,165.0,,79107.00
15/01/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-234628-UPI,00009360839966220,15/01/26,2321.0,,76786.00
16/01/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-665492-UPI,00004537721043548,16/01/26,631.0,,76155.00
16/01/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-781446-UPI,00008706775157873,16/01/26,4480.0,,71675.00
16/01/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-335612-UPI,00006944509726812,16/01/26,277.0,,71398.00
18/01/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-842225-UPI,00002037797684918,18/01/26,330.0,,71068.00
18/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-174299-UPI,00005185506430032,18/01/26,576.0,,70492.00
18/01/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-238739-UPI,00009317531495235,18/01/26,234.0,,70258.00
19/01/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-201639-UPI,00008583447586810,19/01/26,350.0,,69908.00
20/01/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-156802-UPI,00002065574590958,20/01/26,443.0,,69465.00
21/01/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-299448-UPI,00008892158252516,21/01/26,1344.0,,68121.00
21/01/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-361941-UPI,00008795689417874,21/01/26,268.0,,67853.00
22/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-890170-UPI,00005161173462949,22/01/26,634.0,,67219.00
22/01/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-520521-UPI,00002034668113652,22/01/26,375.0,,66844.00
22/01/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-378085-UPI,00009004896177357,22/01/26,642.0,,66202.00
23/01/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-411120-UPI,00002006369269690,23/01/26,145.0,,66057.00
25/01/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-632496-UPI,00002203388955030,25/01/26,104.0,,65953.00
25/01/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-697347-UPI,00001698338142294,25/01/26,1996.0,,63957.00
25/01/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-692683-UPI,00006564227982997,25/01/26,3061.0,,60896.00
26/01/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-515011-UPI,00006276992244264,26/01/26,247.0,,60649.00
27/01/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-751332-UPI,00002760919825741,27/01/26,84.0,,60565.00
27/01/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-238890-UPI,00007141516584510,27/01/26,388.0,,60177.00
29/01/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-669605-UPI,00006324486160707,29/01/26,264.0,,59913.00
30/01/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-956795-UPI,00006268011903574,30/01/26,123.0,,59790.00
30/01/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-240814-UPI,00003028360436207,30/01/26,2823.0,,56967.00
30/01/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-734210-UPI,00004579180417194,30/01/26,436.0,,56531.00
31/01/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-987204-UPI,00002623715817487,31/01/26,460.0,,56071.00
01/02/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-969634,00001774282445811,01/02/26,,78300.0,134371.00
02/02/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-449759-UPI,00003301119435213,02/02/26,14000.0,,120371.00
02/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-548462-UPI,00001169912801200,02/02/26,412.0,,119959.00
03/02/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-217308-UPI,00003623812394218,03/02/26,499.0,,119460.00
03/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-255287-UPI,00003243818848407,03/02/26,429.0,,119031.00
03/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-934794-UPI,00004695208653510,03/02/26,596.0,,118435.00
03/02/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-687080-UPI,00005165817118389,03/02/26,1785.0,,116650.00
04/02/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-125990-UPI,00006845126165249,04/02/26,2656.0,,113994.00
05/02/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-920391-UPI,00008245312684841,05/02/26,1200.0,,112794.00
05/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-140605-UPI,00009280089609335,05/02/26,323.0,,112471.00
06/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-960394-UPI,00004922282656442,06/02/26,305.0,,112166.00
08/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-910891-UPI,00007177361804376,08/02/26,443.0,,111723.00
09/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-220944-UPI,00004140743004108,09/02/26,474.0,,111249.00
09/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-725550-UPI,00007079245160972,09/02/26,461.0,,110788.00
09/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-636265-UPI,00007773660120665,09/02/26,2133.0,,108655.00
10/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-101773-UPI,00007404642497786,10/02/26,496.0,,108159.00
10/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-795612-UPI,00003194075518867,10/02/26,342.0,,107817.00
10/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-799287-UPI,00006739830341653,10/02/26,2430.0,,105387.00
11/02/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-797229-UPI,00007669828074599,11/02/26,1106.0,,104281.00
11/02/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-415568-UPI,00001007875789648,11/02/26,2885.0,,101396.00
12/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-736130-UPI,00006667873802666,12/02/26,536.0,,100860.00
13/02/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-932291-UPI,00005991116192008,13/02/26,295.0,,100565.00
13/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-887625-UPI,00004952703153765,13/02/26,119.0,,100446.00
14/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-598216-UPI,00002283200890793,14/02/26,250.0,,100196.00
15/02/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-502630-UPI,00008028689830037,15/02/26,382.0,,99814.00
15/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-907451-UPI,00002876408785161,15/02/26,593.0,,99221.00
15/02/26,UPI-CLIENT PAYMENT-FREELANCEWORK@OKICICI-ICIC0000099-916232-UPI,00004093316368647,15/02/26,,11482.0,110703.00
16/02/26,UPI-OLA CABS-OLACABS.PAY@ICICI-ICIC0000002-227253-UPI,00003347012632255,16/02/26,465.0,,110238.00
16/02/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-564071-UPI,00008505475871811,16/02/26,1148.0,,109090.00
16/02/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-879779-UPI,00009353116515888,16/02/26,1092.0,,107998.00
17/02/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-390782-UPI,00009523454080915,17/02/26,565.0,,107433.00
17/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-848206-UPI,00005124395797233,17/02/26,2147.0,,105286.00
18/02/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-342495-UPI,00002130495319468,18/02/26,138.0,,105148.00
19/02/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-316881-UPI,00008390920989454,19/02/26,255.0,,104893.00
19/02/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-902784-UPI,00007694031618399,19/02/26,440.0,,104453.00
20/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-508930-UPI,00009586586831180,20/02/26,278.0,,104175.00
20/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-507746-UPI,00002473290184959,20/02/26,377.0,,103798.00
21/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-372793-UPI,00006756884415347,21/02/26,216.0,,103582.00
21/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-497542-UPI,00005438511823921,21/02/26,299.0,,103283.00
23/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-466960-UPI,00004505755387233,23/02/26,650.0,,102633.00
23/02/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-596564-UPI,00003012919998385,23/02/26,400.0,,102233.00
24/02/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-904150-UPI,00003952226925063,24/02/26,2128.0,,100105.00
24/02/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-271720-UPI,00006475931779276,24/02/26,3567.0,,96538.00
24/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-703766-UPI,00007605480054946,24/02/26,612.0,,95926.00
25/02/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-824161-UPI,00002792044392593,25/02/26,320.0,,95606.00
25/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-729577-UPI,00003129468527791,25/02/26,3871.0,,91735.00
26/02/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-793655-UPI,00002212772367295,26/02/26,709.0,,91026.00
26/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-540463-UPI,00009623531247468,26/02/26,85.0,,90941.00
26/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-968962-UPI,00008658583780750,26/02/26,457.0,,90484.00
27/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-664315-UPI,00009507362305763,27/02/26,2887.0,,87597.00
28/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-357420-UPI,00005905224866340,28/02/26,215.0,,87382.00
28/02/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-697530-UPI,00006915797713259,28/02/26,938.0,,86444.00
01/03/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-618317,00006720256285581,01/03/26,,77800.0,164244.00
01/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-456871-UPI,00005861388044045,01/03/26,415.0,,163829.00
02/03/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-682789-UPI,00004362736323263,02/03/26,14000.0,,149829.00
03/03/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-353080-UPI,00008149918277685,03/03/26,499.0,,149330.00
03/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-777278-UPI,00009635941604803,03/03/26,3201.0,,146129.00
03/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-332360-UPI,00006386933976899,03/03/26,119.0,,146010.00
04/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-882169-UPI,00006817749619277,04/03/26,259.0,,145751.00
04/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-363615-UPI,00003122703997579,04/03/26,194.0,,145557.00
04/03/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-661894-UPI,00004258549440264,04/03/26,802.0,,144755.00
05/03/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-300845-UPI,00005863982596162,05/03/26,1200.0,,143555.00
05/03/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-205409-UPI,00004418075111911,05/03/26,1831.0,,141724.00
05/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-114835-UPI,00005823791943084,05/03/26,215.0,,141509.00
05/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-831295-UPI,00003224552926053,05/03/26,413.0,,141096.00
06/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-592198-UPI,00008750177063850,06/03/26,424.0,,140672.00
06/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-600935-UPI,00008048321980643,06/03/26,186.0,,140486.00
07/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-950544-UPI,00002495953582622,07/03/26,200.0,,140286.00
07/03/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-536390-UPI,00007693803479115,07/03/26,1718.0,,138568.00
08/03/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-549660-UPI,00002059229246859,08/03/26,2594.0,,135974.00
08/03/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-317881-UPI,00004713538310346,08/03/26,4280.0,,131694.00
09/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-678805-UPI,00003753396437918,09/03/26,1307.0,,130387.00
11/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-342720-UPI,00008988036186063,11/03/26,202.0,,130185.00
11/03/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-926097-UPI,00008478387689394,11/03/26,610.0,,129575.00
13/03/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-966785-UPI,00002254741350632,13/03/26,601.0,,128974.00
13/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-964278-UPI,00008723590771261,13/03/26,435.0,,128539.00
13/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-385470-UPI,00008702997196045,13/03/26,491.0,,128048.00
15/03/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-733039-UPI,00001452046888046,15/03/26,509.0,,127539.00
15/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-804938-UPI,00005740876904871,15/03/26,650.0,,126889.00
15/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-783157-UPI,00004192355374329,15/03/26,2276.0,,124613.00
16/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-592841-UPI,00008182679800275,16/03/26,487.0,,124126.00
16/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-445824-UPI,00006070189432535,16/03/26,440.0,,123686.00
16/03/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-676818-UPI,00008997386718143,16/03/26,3717.0,,119969.00
18/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-523808-UPI,00008269068838141,18/03/26,634.0,,119335.00
18/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-335790-UPI,00006239783909667,18/03/26,112000.0,,7335.00
20/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-896907-UPI,00004577929428476,20/03/26,343.0,,6992.00
21/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-832168-UPI,00003136680567437,21/03/26,264.0,,6728.00
23/03/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-114338-UPI,00008179262253366,23/03/26,476.0,,6252.00
23/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-223172-UPI,00009766689552078,23/03/26,365.0,,5887.00
23/03/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-386706-UPI,00005288405529931,23/03/26,1576.0,,4311.00
24/03/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-728492-UPI,00003404663395981,24/03/26,1101.0,,3210.00
24/03/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-995916-UPI,00006980376640166,24/03/26,961.0,,2249.00
25/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-413058-UPI,00009614243852433,25/03/26,270.0,,1979.00
25/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-461888-UPI,00009011734111895,25/03/26,716.0,,1263.00
25/03/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-350405-UPI,00007736964572317,25/03/26,2944.0,,-1681.00
26/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-880879-UPI,00007791980670292,26/03/26,196.0,,-1877.00
27/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-718849-UPI,00008747455451376,27/03/26,133.0,,-2010.00
29/03/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-529893-UPI,00003718585263795,29/03/26,2195.0,,-4205.00
29/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-826353-UPI,00007685261002965,29/03/26,299.0,,-4504.00
29/03/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-137642-UPI,00002205242811085,29/03/26,2630.0,,-7134.00
30/03/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-883041-UPI,00008632545061277,30/03/26,4489.0,,-11623.00
01/04/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-565230,00001807578179167,01/04/26,,77800.0,66177.00
01/04/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-551607-UPI,00005295592513504,01/04/26,526.0,,65651.00
02/04/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-656968-UPI,00003990070576468,02/04/26,14000.0,,51651.00
02/04/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-352528-UPI,00003519355476273,02/04/26,448.0,,51203.00
03/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-343467-UPI,00009084219275445,03/04/26,499.0,,50704.00
03/04/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-810526-UPI,00003781191461650,03/04/26,4085.0,,46619.00
